111,10
111101,1001111
1100101001,100110111
1110111000101,10001111010101
10000001100101011,10101011110110111
11100111110010111111,11001111011001110011
10000101001010010011101,11111001011010010010011
1001001000100111100111001,10010111110100100010000101
1010111000100011101011110111,111001110100100100010010111111
110100000001110010001100100000001,1000100001110011111001000001001
111111001110001010011111001100010101,1011100100000111010010101100000001101
1100100110110110001100110011000001101111,10101010111001001011101010100001001101
1604579988689,8027936395547
93182519381507,96187292788663
876173812521703,751380994284013
1913891728881961,9325030840886711
